Results Table 1


Results Table 2


Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
(s),(mm),(kN),(mm),(%),(MPa),
"4.1000","3.4182","0.0000","3.4182","2.2788","0.0024","0.0000"
"4.1200","3.4349","0.0001","3.4349","2.2900","0.0055","0.0000"
"4.1400","3.4515","0.0001","3.4515","2.3010","0.0078","0.0000"
"4.1600","3.4684","0.0001","3.4684","2.3122","0.0103","0.0000"
"4.1800","3.4852","0.0001","3.4852","2.3235","0.0090","0.0000"
"4.2000","3.5020","0.0001","3.5020","2.3347","0.0077","0.0000"
"4.2200","3.5184","0.0001","3.5184","2.3456","0.0085","0.0000"
"4.2400","3.5348","0.0001","3.5348","2.3565","0.0102","0.0000"
"4.2600","3.5515","0.0001","3.5515","2.3676","0.0095","0.0000"
"4.2800","3.5682","0.0001","3.5682","2.3788","0.0084","0.0000"
"4.3000","3.5850","0.0001","3.5850","2.3900","0.0067","0.0000"
"4.3200","3.6018","0.0001","3.6018","2.4012","0.0066","0.0000"
"4.3400","3.6188","0.0001","3.6188","2.4125","0.0112","0.0000"
"4.3600","3.6353","0.0001","3.6353","2.4235","0.0128","0.0000"
"4.3800","3.6516","0.0001","3.6516","2.4344","0.0136","0.0000"
"4.4000","3.6682","0.0001","3.6682","2.4455","0.0130","0.0000"
"4.4200","3.6850","0.0001","3.6850","2.4567","0.0120","0.0000"
"4.4400","3.7018","0.0001","3.7017","2.4678","0.0139","0.0000"
"4.4600","3.7184","0.0001","3.7184","2.4789","0.0114","0.0000"
"4.4800","3.7353","0.0001","3.7353","2.4902","0.0105","0.0000"
"4.5000","3.7519","0.0001","3.7519","2.5013","0.0126","0.0000"
"4.5200","3.7683","0.0001","3.7683","2.5122","0.0126","0.0000"
"4.5400","3.7849","0.0001","3.7849","2.5232","0.0127","0.0000"
"4.5600","3.8017","0.0001","3.8017","2.5345","0.0137","0.0000"
"4.5800","3.8186","0.0001","3.8186","2.5458","0.0125","0.0000"
"4.6000","3.8353","0.0001","3.8353","2.5568","0.0092","0.0000"
"4.6200","3.8520","0.0001","3.8520","2.5680","0.0119","0.0000"
"4.6400","3.8687","0.0002","3.8687","2.5791","0.0163","0.0000"
"4.6600","3.8852","0.0002","3.8852","2.5901","0.0163","0.0000"
"4.6800","3.9016","0.0001","3.9016","2.6011","0.0096","0.0000"
"4.7000","3.9184","0.0001","3.9184","2.6123","0.0082","0.0000"
"4.7200","3.9351","0.0001","3.9351","2.6234","0.0079","0.0000"
"4.7400","3.9518","0.0001","3.9518","2.6345","0.0118","0.0000"
"4.7600","3.9686","0.0001","3.9686","2.6457","0.0143","0.0000"
"4.7800","3.9853","0.0001","3.9853","2.6569","0.0139","0.0000"
"4.8000","4.0017","0.0001","4.0017","2.6678","0.0135","0.0000"
"4.8200","4.0181","0.0002","4.0181","2.6788","0.0159","0.0000"
"4.8400","4.0348","0.0002","4.0348","2.6899","0.0166","0.0000"
"4.8600","4.0517","0.0001","4.0517","2.7011","0.0149","0.0000"
"4.8800","4.0685","0.0001","4.0685","2.7124","0.0098","0.0000"
"4.9000","4.0853","0.0001","4.0853","2.7235","0.0111","0.0000"
"4.9200","4.1022","0.0001","4.1022","2.7348","0.0089","0.0000"
"4.9400","4.1187","0.0001","4.1187","2.7458","0.0096","0.0000"
"4.9600","4.1351","0.0001","4.1351","2.7568","0.0122","0.0000"
"4.9800","4.1518","0.0002","4.1518","2.7679","0.0174","0.0000"
"5.0000","4.1684","0.0001","4.1684","2.7789","0.0132","0.0000"
"5.0200","4.1851","0.0001","4.1851","2.7900","0.0079","0.0000"
"5.0400","4.2017","0.0001","4.2017","2.8011","0.0136","0.0000"
"5.0600","4.2182","0.0001","4.2182","2.8122","0.0144","0.0000"
"5.0800","4.2349","0.0001","4.2349","2.8233","0.0117","0.0000"
"5.1000","4.2514","0.0001","4.2514","2.8343","0.0091","0.0000"
"5.1200","4.2682","0.0001","4.2682","2.8455","0.0091","0.0000"
"5.1400","4.2849","0.0001","4.2849","2.8566","0.0091","0.0000"
"5.1600","4.3019","0.0001","4.3019","2.8680","0.0126","0.0000"
"5.1800","4.3187","0.0001","4.3187","2.8791","0.0142","0.0000"
"5.2000","4.3354","0.0001","4.3354","2.8902","0.0113","0.0000"
"5.2200","4.3519","0.0001","4.3519","2.9013","0.0071","0.0000"
"5.2400","4.3683","0.0001","4.3683","2.9122","0.0073","0.0000"
"5.2600","4.3848","0.0001","4.3848","2.9232","0.0057","0.0000"
"5.2800","4.4017","0.0001","4.4017","2.9345","0.0063","0.0000"
